album_name,track_name,album_type,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
4 PREZ,4 PREZ,single,48.0,0.768,0.43,9,-11.82,0.0626,0.37200000000000005,7.57e-05,0.10099999999999999,0.451,149.984,Cruz Cafuné
40,Algo Que Se Quede,album,71.0,0.7509999999999999,0.722,2,-4.197,0.0506,0.457,0.0,0.17800000000000002,0.7879999999999999,140.043,Grupo Niche
400 mg,400 mg,single,34.0,0.735,0.545,6,-4.8839999999999995,0.0445,0.155,0.00016999999999999999,0.159,0.555,147.92700000000002,Birnir
5 SHOTS,5 SHOTS,single,68.0,0.732,0.889,7,-6.0489999999999995,0.0637,0.109,0.0,0.16699999999999998,0.5479999999999999,140.0,Ringnes-Ronny
5 fine frøkner,5 fine frøkner,single,56.0,0.778,0.752,5,-5.665,0.0449,0.14300000000000002,1.21e-05,0.0917,0.38799999999999996,120.015,Gabrielle
511,AL BORDE,single,80.0,0.9329999999999999,0.27399999999999997,10,-11.762,0.258,0.308,7.86e-06,0.11199999999999999,0.6709999999999999,133.086,Milo j
54+1,Me Rehúso,album,83.0,0.7440000000000001,0.804,1,-6.327000000000001,0.0677,0.0231,0.0,0.0494,0.426,104.823,Danny Ocean
5D,5D,album,56.0,0.78,0.359,6,-9.004,0.36200000000000004,0.262,0.0,0.10300000000000001,0.183,137.928,Hawk
5D,Blue Iguana,album,65.0,0.9279999999999999,0.741,11,-9.145,0.256,0.17800000000000002,0.20199999999999999,0.33,0.264,107.97200000000001,Hawk
5D,Diva,album,56.0,0.9129999999999999,0.49700000000000005,0,-10.332,0.40299999999999997,0.109,0.0,0.0989,0.546,98.96600000000001,Hawk
5D,Ghetto,album,56.0,0.522,0.642,4,-8.252,0.426,0.292,0.0,0.348,0.225,66.617,Hawk
5D,Karma,album,57.0,0.77,0.505,7,-9.959,0.401,0.451,2.5e-06,0.1,0.17300000000000001,89.874,Hawk
5D,Mona Lisa,album,57.0,0.5820000000000001,0.7440000000000001,5,-8.134,0.307,0.517,0.0,0.33399999999999996,0.588,133.285,Hawk
5D,Salvador Dali,album,55.0,0.486,0.612,0,-11.285,0.298,0.341,0.000518,0.109,0.0827,151.03799999999998,Hawk
5D,Smooth Criminal,album,54.0,0.81,0.418,10,-10.378,0.425,0.723,0.0,0.106,0.629,101.088,Hawk
5D,Trapstars,album,56.0,0.617,0.48100000000000004,11,-11.741,0.322,0.237,0.000585,0.42100000000000004,0.287,144.868,Hawk
5D,UFO,album,54.0,0.809,0.544,2,-7.534,0.32899999999999996,0.10300000000000001,0.0,0.0741,0.565,174.11900000000003,Hawk
5D,Welcome To The Future,album,36.0,0.826,0.371,2,-15.808,0.361,0.287,0.345,0.11800000000000001,0.18100000000000002,130.02200000000002,Hawk
6.5,6.5,single,72.0,0.7290000000000001,0.508,8,-13.663,0.0716,0.0827,0.0,0.114,0.669,96.00299999999999,Jere Klein
6.5,Donde?,single,79.0,0.897,0.49,0,-6.587000000000001,0.0924,0.01,0.0,0.0759,0.9159999999999999,95.98899999999999,Jere Klein
6.5,Ram,single,76.0,0.6629999999999999,0.779,7,-6.348,0.0482,0.00203,0.0,0.113,0.898,92.935,Jere Klein
600,10 AF 10,album,42.0,0.542,0.513,1,-6.683,0.23600000000000002,0.0707,0.00017900000000000001,0.31,0.35,100.762,Daniil
600,ALEINN,album,47.0,0.7659999999999999,0.574,2,-6.716,0.0401,0.11,1.1400000000000001e-05,0.21600000000000003,0.488,116.024,Daniil
600,EF ÞEIR VILJA BEEF,album,38.0,0.778,0.715,8,-5.936,0.146,0.18,0.0,0.341,0.505,155.014,Daniil
600,YEAAA,album,43.0,0.743,0.672,4,-5.246,0.121,0.0408,0.0,0.172,0.72,75.0,Daniil
600,ÁSTIN MÍN,album,43.0,0.688,0.583,4,-6.691,0.0303,0.258,9.07e-06,0.10400000000000001,0.213,110.056,Daniil
69,69,single,82.0,0.785,0.617,8,-4.202,0.23399999999999999,0.109,0.0,0.11,0.58,92.844,Nicky Jam
7/7,7/7,single,61.0,0.64,0.662,4,-8.158,0.305,0.0292,1.4300000000000002e-05,0.396,0.621,159.944,PLK
77,77,single,83.0,0.484,0.746,2,-5.191,0.0528,0.126,0.0,0.2,0.7829999999999999,130.149,Peso Pluma
777,Los Cachos,album,79.0,0.774,0.73,0,-3.865,0.134,0.10800000000000001,0.0,0.19399999999999998,0.42100000000000004,91.96600000000001,Piso 21
8 Culcat,"OU, OU",album,43.0,0.469,0.599,7,-4.332,0.0657,0.37799999999999995,0.0,0.51,0.115,98.495,Satra B.E.N.Z.
8 марабу,Додому,album,61.0,0.72,0.674,7,-7.343999999999999,0.0828,0.125,0.0025800000000000003,0.0928,0.21899999999999997,76.617,Wellboy
9 bis 9,9 bis 9,single,29.0,0.767,0.539,4,-8.517999999999999,0.0629,0.364,0.0397,0.0772,0.368,128.055,SIRA
99%,Anh Đã Ổn Hơn,album,70.0,0.703,0.28,3,-9.56,0.0293,0.726,0.00028199999999999997,0.11800000000000001,0.33799999999999997,141.892,RPT MCK
99%,Chìm Sâu,album,65.0,0.598,0.489,11,-8.884,0.0486,0.5870000000000001,0.0,0.11900000000000001,0.502,204.179,RPT MCK
99%,Chỉ Một Đêm Nữa Thôi,album,65.0,0.669,0.773,10,-8.182,0.10800000000000001,0.13,4.01e-05,0.0838,0.358,170.085,RPT MCK
99%,Thôi Em Đừng Đi,album,66.0,0.809,0.626,9,-7.531000000000001,0.0467,0.111,0.0,0.11199999999999999,0.718,141.981,RPT MCK
99%,Tại Vì Sao,album,62.0,0.76,0.682,7,-8.323,0.0763,0.0347,0.0,0.10099999999999999,0.552,135.043,RPT MCK
9ine,9ine,single,32.0,0.652,0.475,10,-7.26,0.11,0.272,0.00024300000000000002,0.166,0.24,110.32,Qounfuzed
= (Tour Edition),Shivers,album,67.0,0.7879999999999999,0.8590000000000001,2,-2.7239999999999998,0.0856,0.281,0.0,0.0424,0.8220000000000001,141.02,Ed Sheeran
A Head Full of Dreams,Hymn for the Weekend,album,85.0,0.491,0.693,0,-6.487,0.0377,0.21100000000000002,6.92e-06,0.325,0.41200000000000003,90.027,Coldplay
A Nossa Dança,A Nossa Dança,single,65.0,0.6629999999999999,0.688,0,-6.777,0.21100000000000002,0.249,0.0,0.302,0.579,97.932,Calema
A Rush of Blood to the Head,Clocks,album,84.0,0.5770000000000001,0.7490000000000001,5,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97,Coldplay
A Rush of Blood to the Head,The Scientist,album,87.0,0.557,0.442,5,-7.224,0.0243,0.731,1.4599999999999999e-05,0.11,0.213,146.27700000000002,Coldplay
A Thousand Years,A Thousand Years,single,71.0,0.529,0.47200000000000003,2,-6.3229999999999995,0.0333,0.39799999999999996,0.0,0.0853,0.26899999999999996,138.935,James Arthur
A ló túloldalán,Habibi,album,58.0,0.7290000000000001,0.57,9,-6.072,0.18100000000000002,0.28300000000000003,1.02e-06,0.0765,0.593,156.999,Azahriah
A ló túloldalán,Miafasz,album,59.0,0.696,0.7070000000000001,8,-6.704,0.217,0.368,0.0,0.111,0.506,87.478,Azahriah
A ló túloldalán,Mind1,album,52.0,0.741,0.6579999999999999,2,-8.631,0.0717,0.5479999999999999,0.0,0.11900000000000001,0.467,103.94200000000001,Azahriah
A ló túloldalán,Pullup,album,60.0,0.726,0.632,11,-8.655,0.11199999999999999,0.106,0.0,0.0923,0.289,86.905,Azahriah
A ló túloldalán,Tisztán iszom,album,57.0,0.446,0.655,0,-6.945,0.0439,0.644,0.0,0.19899999999999998,0.894,162.924,Azahriah
AFFETMEM,AFFETMEM,single,79.0,0.6459999999999999,0.685,3,-11.027000000000001,0.0762,0.586,1.78e-06,0.105,0.539,142.115,BLOK3
AFROBOY,Love,single,73.0,0.7090000000000001,0.6890000000000001,11,-5.615,0.0818,0.528,0.0147,0.111,0.523,100.97200000000001,kouz1
AGAPI,AGAPI,single,65.0,0.644,0.64,2,-9.199,0.248,0.32899999999999996,1.67e-05,0.0822,0.53,93.052,Sigma
AGAPI (Remix),AGAPI - Remix,single,74.0,0.68,0.6759999999999999,2,-8.265,0.131,0.19,0.0,0.10800000000000001,0.486,92.956,Sigma
AK47,AK47,single,33.0,0.667,0.823,2,-5.3420000000000005,0.253,0.172,0.0,0.10800000000000001,0.249,95.609,Capital Bra
ALAX? (feat. Pihlaja),ALAX? - feat. Pihlaja,single,62.0,0.903,0.639,8,-4.581,0.161,0.502,0.00172,0.109,0.6940000000000001,124.05799999999999,Jami Faltin
ALBERTO NAVARRO (feat. Danny Yash),ALBERTO NAVARRO (feat. Danny Yash),single,52.0,0.652,0.655,11,-8.554,0.22399999999999998,0.203,0.0,0.299,0.667,89.281,Jorkan
ALFABET (ABC),ALFABET (ABC),single,59.0,0.826,0.743,1,-6.817,0.066,0.0623,0.0,0.147,0.82,105.01799999999999,Skinz
ALMA,8 AM,album,69.0,0.629,0.441,11,-7.572,0.295,0.29600000000000004,1.65e-06,0.114,0.319,94.411,Nicki Nicole
ALMA,CAEN LAS ESTRELLAS,album,69.0,0.7390000000000001,0.787,10,-5.566,0.0633,0.18,0.0,0.0978,0.501,123.04799999999999,Nicki Nicole
ALMA,DISPARA ***,album,72.0,0.81,0.657,1,-2.978,0.155,0.48,0.0,0.10800000000000001,0.698,89.97200000000001,Nicki Nicole
ALMA,qué le pasa conmigo?,album,68.0,0.83,0.586,10,-5.943,0.127,0.32299999999999995,0.00948,0.076,0.713,96.99600000000001,Nicki Nicole
ALPHA,Jena Mbreter 2,album,56.0,0.775,0.838,11,-4.092,0.0889,0.32899999999999996,0.0,0.0354,0.588,89.929,Noizy
ALPHA,Jena Mbreter 2,album,49.0,0.775,0.838,11,-4.092,0.0889,0.32899999999999996,0.0,0.0354,0.588,89.929,Noizy
ALPHA,Location,album,63.0,0.753,0.528,7,-10.640999999999998,0.14800000000000002,0.166,7.99e-06,0.17300000000000001,0.444,140.88,Noizy
ALPHA,Pas là,album,72.0,0.7859999999999999,0.643,2,-5.42,0.0316,0.622,5.7100000000000006e-05,0.135,0.755,125.045,Djadja & Dinaz
ALPHA (Parties 1 & 2),Capitaine,album,77.0,0.768,0.662,0,-5.92,0.182,0.37,0.0,0.0844,0.636,151.937,Djadja & Dinaz
AM,I Wanna Be Yours,album,94.0,0.46399999999999997,0.41700000000000004,0,-9.345,0.0256,0.136,0.022000000000000002,0.0974,0.479,67.528,Arctic Monkeys
AM,Why'd You Only Call Me When You're High?,album,88.0,0.691,0.631,2,-6.478,0.0368,0.0483,1.13e-05,0.10400000000000001,0.8,92.00399999999999,Arctic Monkeys
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),AMERICA HAS A PROBLEM (feat. Kendrick Lamar),single,82.0,0.784,0.7,1,-5.289,0.0396,0.0112,1.76e-05,0.163,0.204,126.015,Beyoncé
AMG,AMG,single,94.0,0.772,0.73,11,-6.657,0.0972,0.152,0.00010700000000000001,0.27399999999999997,0.7859999999999999,136.175,Natanael Cano
