track.name,album_name,album_type,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),AMERICA HAS A PROBLEM (feat. Kendrick Lamar),single,82.0,0.784,0.7,1,-5.289,0.0396,0.0112,1.76e-05,0.163,0.204,126.015,Beyoncé
AMG,AMG,single,94.0,0.772,0.73,11,-6.657,0.0972,0.152,0.000107,0.274,0.786,136.175,Natanael Cano
AMOR,RACKATTACK 2,album,63.0,0.772,0.749,1,-8.113,0.0856,0.233,0.142,0.111,0.343,121.976,RACK
AMYGDALA,D-DAY,album,82.0,0.311,0.769,7,-4.637,0.0553,0.226,0.0,0.105,0.16,78.265,Agust D
ANGYAL,ANGYAL,single,30.0,0.86,0.734,1,-7.96,0.0819,0.514,0.000152,0.1,0.483,124.035,Beatrick
ANNA,ANNA,single,78.0,0.68,0.692,5,-6.924,0.0471,0.0952,0.0302,0.155,0.45,89.967,RAF Camora
ANTIFRAGILE,UNFORGIVEN,single,87.0,0.882,0.797,10,-3.299,0.0819,0.0821,0.0,0.125,0.83,105.025,LE SSERAFIM
APA,PARAÍSO,album,79.0,0.757,0.738,8,-4.913,0.22,0.712,9.67e-06,0.198,0.753,120.091,Mora
ARASAN DA,EL CHAVO,album,68.0,0.742,0.832,10,-6.812,0.156,0.425,0.242,0.108,0.441,105.978,UZI
ARRANCARMELO,ARRANCARMELO,single,80.0,0.654,0.354,5,-7.358,0.0738,0.724,0.0,0.134,0.262,81.956,WOS
ASPHALT 8,ASPHALT 8,single,67.0,0.904,0.834,11,-4.927,0.162,0.373,1.04e-06,0.0857,0.731,124.004,MACAN
ATTORI DI STRADA - ragazzi fuori,Effetto notte,album,56.0,0.812,0.701,6,-6.552,0.231,0.161,0.0,0.209,0.197,130.069,Emis Killa
AYE KUWA (feat. CK THE DJ),AYE KUWA (feat. CK THE DJ),single,56.0,0.87,0.788,1,-5.483,0.0318,0.0571,0.00749,0.0401,0.592,112.977,King Monada
Aaftaab,Aaftaab,single,38.0,0.694,0.409,4,-8.111,0.031,0.845,0.0,0.113,0.45,112.998,Jawid Sharif
Aan,Aan,single,28.0,0.755,0.495,2,-7.822,0.356,0.305,0.000298,0.0976,0.539,84.051,BClazic
Abala Ya Bali,Abala Ya Bali,single,56.0,0.763,0.744,8,-8.116,0.0637,0.232,0.0106,0.0907,0.54,129.953,Ayoub Anbaoui
Abcdario,Abcdario,single,86.0,0.703,0.429,8,-9.076,0.0308,0.783,1.48e-06,0.113,0.416,129.034,Eden Muñoz
Abziehen,High & Hungrig 3,album,55.0,0.592,0.572,1,-8.691,0.333,0.322,0.000313,0.273,0.545,143.819,Bonez MC
Ach Khbarek,Ach Khbarek,single,58.0,0.765,0.871,0,-4.667,0.16,0.0528,0.0,0.0527,0.782,119.929,Saad Lamjarred
Acolyte (feat. Dadju & Ninho),MRTHN,album,70.0,0.775,0.792,8,-4.686,0.102,0.203,0.0,0.128,0.71,88.006,Gianni
Acróstico,Acróstico,single,91.0,0.748,0.478,11,-8.886,0.121,0.837,0.0,0.099,0.353,143.866,Shakira
Adiós Amor / Oye Mujer,Adiós Amor / Oye Mujer,single,76.0,0.466,0.468,11,-5.966,0.123,0.00467,0.0,0.12,0.845,179.839,Ke Personajes
Aerosol,Dansktop,album,60.0,0.593,0.498,8,-8.03,0.0375,0.331,1.52e-05,0.671,0.369,130.045,Ukendt Kunstner
Aferin,Aferin,single,74.0,0.663,0.716,0,-7.477,0.0484,0.303,0.0,0.331,0.689,140.086,Mabel Matiz
Afraid To Feel,Afraid To Feel,single,82.0,0.578,0.912,1,-3.929,0.114,0.0166,0.00362,0.273,0.68,127.87,LF SYSTEM
Afro Beat,Megáll Az Idő,album,60.0,0.858,0.436,8,-12.827,0.108,0.0481,0.353,0.0646,0.0988,125.002,Pogány Induló
Aftaab X Tere Liye - FanaaTV Version,Aftaab X Tere Liye (FanaaTV Version),single,11.0,0.564,0.526,3,-7.387,0.034,0.297,0.0,0.171,0.389,103.921,Fanaatv
After Dark,Time,album,74.0,0.578,0.6,8,-10.491,0.0322,0.0677,0.417,0.0778,0.0392,140.021,Mr.Kitty
After LIKE,After LIKE,single,84.0,0.68,0.922,0,-1.215,0.121,0.103,0.0,0.0877,0.799,125.014,IVE
Afterhours,Afterhours,single,70.0,0.772,0.703,11,-7.73,0.122,0.211,0.00122,0.129,0.48,90.036,Bir
Aga Naga,Ponniyin Selvan Part-2 (Original Motion Picture Soundtrack),album,65.0,0.534,0.353,9,-9.477,0.0299,0.856,1.62e-05,0.0963,0.324,139.891,A.R. Rahman
